"name: ONTUSDT, total: 0, profit: 0, lost: 0, win_ratio: 0, total_trade: 0, Currency_BBM: 1.8, BBlength: 60, win: 0, lose: 0, max_lost: 0, max_win: 0, Ave_profit: 0, Ave_loss: 0, Ave_trade: 0, RSIoverSold: 50, RSIoverBought: 50, "
"name: ONTUSDT, total: 0, profit: 0, lost: 0, win_ratio: 0, total_trade: 0, Currency_BBM: 1.8, BBlength: 80, win: 0, lose: 0, max_lost: 0, max_win: 0, Ave_profit: 0, Ave_loss: 0, Ave_trade: 0, RSIoverSold: 50, RSIoverBought: 50, "
"name: ONTUSDT, total: 0, profit: 0, lost: 0, win_ratio: 0, total_trade: 0, Currency_BBM: 1.8, BBlength: 100, win: 0, lose: 0, max_lost: 0, max_win: 0, Ave_profit: 0, Ave_loss: 0, Ave_trade: 0, RSIoverSold: 50, RSIoverBought: 50, "
"name: ONTUSDT, total: 0, profit: 0, lost: 0, win_ratio: 0, total_trade: 0, Currency_BBM: 1.8, BBlength: 120, win: 0, lose: 0, max_lost: 0, max_win: 0, Ave_profit: 0, Ave_loss: 0, Ave_trade: 0, RSIoverSold: 50, RSIoverBought: 50, "
"name: ONTUSDT, total: 0, profit: 0, lost: 0, win_ratio: 0, total_trade: 0, Currency_BBM: 1.8, BBlength: 140, win: 0, lose: 0, max_lost: 0, max_win: 0, Ave_profit: 0, Ave_loss: 0, Ave_trade: 0, RSIoverSold: 50, RSIoverBought: 50, "
"name: ONTUSDT, total: 0, profit: 0, lost: 0, win_ratio: 0, total_trade: 0, Currency_BBM: 1.8, BBlength: 160, win: 0, lose: 0, max_lost: 0, max_win: 0, Ave_profit: 0, Ave_loss: 0, Ave_trade: 0, RSIoverSold: 50, RSIoverBought: 50, "
"name: ONTUSDT, total: 0, profit: 0, lost: 0, win_ratio: 0, total_trade: 0, Currency_BBM: 1.8, BBlength: 180, win: 0, lose: 0, max_lost: 0, max_win: 0, Ave_profit: 0, Ave_loss: 0, Ave_trade: 0, RSIoverSold: 50, RSIoverBought: 50, "
"name: ONTUSDT, total: 0, profit: 0, lost: 0, win_ratio: 0, total_trade: 0, Currency_BBM: 1.9, BBlength: 60, win: 0, lose: 0, max_lost: 0, max_win: 0, Ave_profit: 0, Ave_loss: 0, Ave_trade: 0, RSIoverSold: 50, RSIoverBought: 50, "
"name: ONTUSDT, total: 0, profit: 0, lost: 0, win_ratio: 0, total_trade: 0, Currency_BBM: 1.9, BBlength: 80, win: 0, lose: 0, max_lost: 0, max_win: 0, Ave_profit: 0, Ave_loss: 0, Ave_trade: 0, RSIoverSold: 50, RSIoverBought: 50, "
"name: ONTUSDT, total: 0, profit: 0, lost: 0, win_ratio: 0, total_trade: 0, Currency_BBM: 1.9, BBlength: 100, win: 0, lose: 0, max_lost: 0, max_win: 0, Ave_profit: 0, Ave_loss: 0, Ave_trade: 0, RSIoverSold: 50, RSIoverBought: 50, "
"name: ONTUSDT, total: 0, profit: 0, lost: 0, win_ratio: 0, total_trade: 0, Currency_BBM: 1.9, BBlength: 120, win: 0, lose: 0, max_lost: 0, max_win: 0, Ave_profit: 0, Ave_loss: 0, Ave_trade: 0, RSIoverSold: 50, RSIoverBought: 50, "
"name: ONTUSDT, total: 0, profit: 0, lost: 0, win_ratio: 0, total_trade: 0, Currency_BBM: 1.9, BBlength: 140, win: 0, lose: 0, max_lost: 0, max_win: 0, Ave_profit: 0, Ave_loss: 0, Ave_trade: 0, RSIoverSold: 50, RSIoverBought: 50, "
"name: ONTUSDT, total: 0, profit: 0, lost: 0, win_ratio: 0, total_trade: 0, Currency_BBM: 1.9, BBlength: 160, win: 0, lose: 0, max_lost: 0, max_win: 0, Ave_profit: 0, Ave_loss: 0, Ave_trade: 0, RSIoverSold: 50, RSIoverBought: 50, "
"name: ONTUSDT, total: 0, profit: 0, lost: 0, win_ratio: 0, total_trade: 0, Currency_BBM: 1.9, BBlength: 180, win: 0, lose: 0, max_lost: 0, max_win: 0, Ave_profit: 0, Ave_loss: 0, Ave_trade: 0, RSIoverSold: 50, RSIoverBought: 50, "
"name: ONTUSDT, total: 0, profit: 0, lost: 0, win_ratio: 0, total_trade: 0, Currency_BBM: 2.0, BBlength: 60, win: 0, lose: 0, max_lost: 0, max_win: 0, Ave_profit: 0, Ave_loss: 0, Ave_trade: 0, RSIoverSold: 50, RSIoverBought: 50, "
"name: ONTUSDT, total: 0, profit: 0, lost: 0, win_ratio: 0, total_trade: 0, Currency_BBM: 2.0, BBlength: 80, win: 0, lose: 0, max_lost: 0, max_win: 0, Ave_profit: 0, Ave_loss: 0, Ave_trade: 0, RSIoverSold: 50, RSIoverBought: 50, "
"name: ONTUSDT, total: 0, profit: 0, lost: 0, win_ratio: 0, total_trade: 0, Currency_BBM: 2.0, BBlength: 100, win: 0, lose: 0, max_lost: 0, max_win: 0, Ave_profit: 0, Ave_loss: 0, Ave_trade: 0, RSIoverSold: 50, RSIoverBought: 50, "
"name: ONTUSDT, total: 0, profit: 0, lost: 0, win_ratio: 0, total_trade: 0, Currency_BBM: 2.0, BBlength: 120, win: 0, lose: 0, max_lost: 0, max_win: 0, Ave_profit: 0, Ave_loss: 0, Ave_trade: 0, RSIoverSold: 50, RSIoverBought: 50, "
"name: ONTUSDT, total: 0, profit: 0, lost: 0, win_ratio: 0, total_trade: 0, Currency_BBM: 2.0, BBlength: 140, win: 0, lose: 0, max_lost: 0, max_win: 0, Ave_profit: 0, Ave_loss: 0, Ave_trade: 0, RSIoverSold: 50, RSIoverBought: 50, "
"name: ONTUSDT, total: 0, profit: 0, lost: 0, win_ratio: 0, total_trade: 0, Currency_BBM: 2.0, BBlength: 160, win: 0, lose: 0, max_lost: 0, max_win: 0, Ave_profit: 0, Ave_loss: 0, Ave_trade: 0, RSIoverSold: 50, RSIoverBought: 50, "
"name: ONTUSDT, total: 0, profit: 0, lost: 0, win_ratio: 0, total_trade: 0, Currency_BBM: 2.0, BBlength: 180, win: 0, lose: 0, max_lost: 0, max_win: 0, Ave_profit: 0, Ave_loss: 0, Ave_trade: 0, RSIoverSold: 50, RSIoverBought: 50, "
"name: ONTUSDT, total: 0, profit: 0, lost: 0, win_ratio: 0, total_trade: 0, Currency_BBM: 2.1, BBlength: 60, win: 0, lose: 0, max_lost: 0, max_win: 0, Ave_profit: 0, Ave_loss: 0, Ave_trade: 0, RSIoverSold: 50, RSIoverBought: 50, "
"name: ONTUSDT, total: 0, profit: 0, lost: 0, win_ratio: 0, total_trade: 0, Currency_BBM: 2.1, BBlength: 80, win: 0, lose: 0, max_lost: 0, max_win: 0, Ave_profit: 0, Ave_loss: 0, Ave_trade: 0, RSIoverSold: 50, RSIoverBought: 50, "
"name: ONTUSDT, total: 0, profit: 0, lost: 0, win_ratio: 0, total_trade: 0, Currency_BBM: 2.1, BBlength: 100, win: 0, lose: 0, max_lost: 0, max_win: 0, Ave_profit: 0, Ave_loss: 0, Ave_trade: 0, RSIoverSold: 50, RSIoverBought: 50, "
"name: ONTUSDT, total: 0, profit: 0, lost: 0, win_ratio: 0, total_trade: 0, Currency_BBM: 2.1, BBlength: 120, win: 0, lose: 0, max_lost: 0, max_win: 0, Ave_profit: 0, Ave_loss: 0, Ave_trade: 0, RSIoverSold: 50, RSIoverBought: 50, "
"name: ONTUSDT, total: 0, profit: 0, lost: 0, win_ratio: 0, total_trade: 0, Currency_BBM: 2.1, BBlength: 140, win: 0, lose: 0, max_lost: 0, max_win: 0, Ave_profit: 0, Ave_loss: 0, Ave_trade: 0, RSIoverSold: 50, RSIoverBought: 50, "
"name: ONTUSDT, total: 0, profit: 0, lost: 0, win_ratio: 0, total_trade: 0, Currency_BBM: 2.1, BBlength: 160, win: 0, lose: 0, max_lost: 0, max_win: 0, Ave_profit: 0, Ave_loss: 0, Ave_trade: 0, RSIoverSold: 50, RSIoverBought: 50, "
"name: ONTUSDT, total: 0, profit: 0, lost: 0, win_ratio: 0, total_trade: 0, Currency_BBM: 2.1, BBlength: 180, win: 0, lose: 0, max_lost: 0, max_win: 0, Ave_profit: 0, Ave_loss: 0, Ave_trade: 0, RSIoverSold: 50, RSIoverBought: 50, "
"name: ONTUSDT, total: 0, profit: 0, lost: 0, win_ratio: 0, total_trade: 0, Currency_BBM: 2.2, BBlength: 60, win: 0, lose: 0, max_lost: 0, max_win: 0, Ave_profit: 0, Ave_loss: 0, Ave_trade: 0, RSIoverSold: 50, RSIoverBought: 50, "
"name: ONTUSDT, total: 0, profit: 0, lost: 0, win_ratio: 0, total_trade: 0, Currency_BBM: 2.2, BBlength: 80, win: 0, lose: 0, max_lost: 0, max_win: 0, Ave_profit: 0, Ave_loss: 0, Ave_trade: 0, RSIoverSold: 50, RSIoverBought: 50, "
"name: ONTUSDT, total: 0, profit: 0, lost: 0, win_ratio: 0, total_trade: 0, Currency_BBM: 2.2, BBlength: 100, win: 0, lose: 0, max_lost: 0, max_win: 0, Ave_profit: 0, Ave_loss: 0, Ave_trade: 0, RSIoverSold: 50, RSIoverBought: 50, "
"name: ONTUSDT, total: 0, profit: 0, lost: 0, win_ratio: 0, total_trade: 0, Currency_BBM: 2.2, BBlength: 120, win: 0, lose: 0, max_lost: 0, max_win: 0, Ave_profit: 0, Ave_loss: 0, Ave_trade: 0, RSIoverSold: 50, RSIoverBought: 50, "
"name: ONTUSDT, total: 0, profit: 0, lost: 0, win_ratio: 0, total_trade: 0, Currency_BBM: 2.2, BBlength: 140, win: 0, lose: 0, max_lost: 0, max_win: 0, Ave_profit: 0, Ave_loss: 0, Ave_trade: 0, RSIoverSold: 50, RSIoverBought: 50, "
"name: ONTUSDT, total: 0, profit: 0, lost: 0, win_ratio: 0, total_trade: 0, Currency_BBM: 2.2, BBlength: 160, win: 0, lose: 0, max_lost: 0, max_win: 0, Ave_profit: 0, Ave_loss: 0, Ave_trade: 0, RSIoverSold: 50, RSIoverBought: 50, "
"name: ONTUSDT, total: 0, profit: 0, lost: 0, win_ratio: 0, total_trade: 0, Currency_BBM: 2.2, BBlength: 180, win: 0, lose: 0, max_lost: 0, max_win: 0, Ave_profit: 0, Ave_loss: 0, Ave_trade: 0, RSIoverSold: 50, RSIoverBought: 50, "
"name: ONTUSDT, total: 0, profit: 0, lost: 0, win_ratio: 0, total_trade: 0, Currency_BBM: 2.3, BBlength: 60, win: 0, lose: 0, max_lost: 0, max_win: 0, Ave_profit: 0, Ave_loss: 0, Ave_trade: 0, RSIoverSold: 50, RSIoverBought: 50, "
"name: ONTUSDT, total: 0, profit: 0, lost: 0, win_ratio: 0, total_trade: 0, Currency_BBM: 2.3, BBlength: 80, win: 0, lose: 0, max_lost: 0, max_win: 0, Ave_profit: 0, Ave_loss: 0, Ave_trade: 0, RSIoverSold: 50, RSIoverBought: 50, "
"name: ONTUSDT, total: 0, profit: 0, lost: 0, win_ratio: 0, total_trade: 0, Currency_BBM: 2.3, BBlength: 100, win: 0, lose: 0, max_lost: 0, max_win: 0, Ave_profit: 0, Ave_loss: 0, Ave_trade: 0, RSIoverSold: 50, RSIoverBought: 50, "
"name: ONTUSDT, total: 0, profit: 0, lost: 0, win_ratio: 0, total_trade: 0, Currency_BBM: 2.3, BBlength: 120, win: 0, lose: 0, max_lost: 0, max_win: 0, Ave_profit: 0, Ave_loss: 0, Ave_trade: 0, RSIoverSold: 50, RSIoverBought: 50, "
"name: ONTUSDT, total: 0, profit: 0, lost: 0, win_ratio: 0, total_trade: 0, Currency_BBM: 2.3, BBlength: 140, win: 0, lose: 0, max_lost: 0, max_win: 0, Ave_profit: 0, Ave_loss: 0, Ave_trade: 0, RSIoverSold: 50, RSIoverBought: 50, "
"name: ONTUSDT, total: 0, profit: 0, lost: 0, win_ratio: 0, total_trade: 0, Currency_BBM: 2.3, BBlength: 160, win: 0, lose: 0, max_lost: 0, max_win: 0, Ave_profit: 0, Ave_loss: 0, Ave_trade: 0, RSIoverSold: 50, RSIoverBought: 50, "
"name: ONTUSDT, total: 0, profit: 0, lost: 0, win_ratio: 0, total_trade: 0, Currency_BBM: 2.3, BBlength: 180, win: 0, lose: 0, max_lost: 0, max_win: 0, Ave_profit: 0, Ave_loss: 0, Ave_trade: 0, RSIoverSold: 50, RSIoverBought: 50, "
"name: ONTUSDT, total: 0, profit: 0, lost: 0, win_ratio: 0, total_trade: 0, Currency_BBM: 2.4, BBlength: 60, win: 0, lose: 0, max_lost: 0, max_win: 0, Ave_profit: 0, Ave_loss: 0, Ave_trade: 0, RSIoverSold: 50, RSIoverBought: 50, "
"name: ONTUSDT, total: 0, profit: 0, lost: 0, win_ratio: 0, total_trade: 0, Currency_BBM: 2.4, BBlength: 80, win: 0, lose: 0, max_lost: 0, max_win: 0, Ave_profit: 0, Ave_loss: 0, Ave_trade: 0, RSIoverSold: 50, RSIoverBought: 50, "
"name: ONTUSDT, total: 0, profit: 0, lost: 0, win_ratio: 0, total_trade: 0, Currency_BBM: 2.4, BBlength: 100, win: 0, lose: 0, max_lost: 0, max_win: 0, Ave_profit: 0, Ave_loss: 0, Ave_trade: 0, RSIoverSold: 50, RSIoverBought: 50, "
"name: ONTUSDT, total: 0, profit: 0, lost: 0, win_ratio: 0, total_trade: 0, Currency_BBM: 2.4, BBlength: 120, win: 0, lose: 0, max_lost: 0, max_win: 0, Ave_profit: 0, Ave_loss: 0, Ave_trade: 0, RSIoverSold: 50, RSIoverBought: 50, "
"name: ONTUSDT, total: 0, profit: 0, lost: 0, win_ratio: 0, total_trade: 0, Currency_BBM: 2.4, BBlength: 140, win: 0, lose: 0, max_lost: 0, max_win: 0, Ave_profit: 0, Ave_loss: 0, Ave_trade: 0, RSIoverSold: 50, RSIoverBought: 50, "
"name: ONTUSDT, total: 0, profit: 0, lost: 0, win_ratio: 0, total_trade: 0, Currency_BBM: 2.4, BBlength: 160, win: 0, lose: 0, max_lost: 0, max_win: 0, Ave_profit: 0, Ave_loss: 0, Ave_trade: 0, RSIoverSold: 50, RSIoverBought: 50, "
"name: ONTUSDT, total: 0, profit: 0, lost: 0, win_ratio: 0, total_trade: 0, Currency_BBM: 2.4, BBlength: 180, win: 0, lose: 0, max_lost: 0, max_win: 0, Ave_profit: 0, Ave_loss: 0, Ave_trade: 0, RSIoverSold: 50, RSIoverBought: 50, "
"name: ONTUSDT, total: 0, profit: 0, lost: 0, win_ratio: 0, total_trade: 0, Currency_BBM: 2.5, BBlength: 60, win: 0, lose: 0, max_lost: 0, max_win: 0, Ave_profit: 0, Ave_loss: 0, Ave_trade: 0, RSIoverSold: 50, RSIoverBought: 50, "
"name: ONTUSDT, total: 0, profit: 0, lost: 0, win_ratio: 0, total_trade: 0, Currency_BBM: 2.5, BBlength: 80, win: 0, lose: 0, max_lost: 0, max_win: 0, Ave_profit: 0, Ave_loss: 0, Ave_trade: 0, RSIoverSold: 50, RSIoverBought: 50, "
"name: ONTUSDT, total: 0, profit: 0, lost: 0, win_ratio: 0, total_trade: 0, Currency_BBM: 2.5, BBlength: 100, win: 0, lose: 0, max_lost: 0, max_win: 0, Ave_profit: 0, Ave_loss: 0, Ave_trade: 0, RSIoverSold: 50, RSIoverBought: 50, "
"name: ONTUSDT, total: 0, profit: 0, lost: 0, win_ratio: 0, total_trade: 0, Currency_BBM: 2.5, BBlength: 120, win: 0, lose: 0, max_lost: 0, max_win: 0, Ave_profit: 0, Ave_loss: 0, Ave_trade: 0, RSIoverSold: 50, RSIoverBought: 50, "
"name: ONTUSDT, total: 0, profit: 0, lost: 0, win_ratio: 0, total_trade: 0, Currency_BBM: 2.5, BBlength: 140, win: 0, lose: 0, max_lost: 0, max_win: 0, Ave_profit: 0, Ave_loss: 0, Ave_trade: 0, RSIoverSold: 50, RSIoverBought: 50, "
"name: ONTUSDT, total: 0, profit: 0, lost: 0, win_ratio: 0, total_trade: 0, Currency_BBM: 2.5, BBlength: 160, win: 0, lose: 0, max_lost: 0, max_win: 0, Ave_profit: 0, Ave_loss: 0, Ave_trade: 0, RSIoverSold: 50, RSIoverBought: 50, "
"name: ONTUSDT, total: 0, profit: 0, lost: 0, win_ratio: 0, total_trade: 0, Currency_BBM: 2.5, BBlength: 180, win: 0, lose: 0, max_lost: 0, max_win: 0, Ave_profit: 0, Ave_loss: 0, Ave_trade: 0, RSIoverSold: 50, RSIoverBought: 50, "
"name: ONTUSDT, total: 0, profit: 0, lost: 0, win_ratio: 0, total_trade: 0, Currency_BBM: 2.6, BBlength: 60, win: 0, lose: 0, max_lost: 0, max_win: 0, Ave_profit: 0, Ave_loss: 0, Ave_trade: 0, RSIoverSold: 50, RSIoverBought: 50, "
