"name: BTCUSDT, total: 1.4, profit: 1.5, lost: -0.1, win_ratio: 79.0, total_trade: 19, Currency_BBM: 1.6, BBlength: 200, win: 15, lose: 4, max_lost: -0.04, max_win: 0.54, Ave_profit: 0.101, Ave_loss: -0.032, Ave_trade: 0.073, RSIoverSold: 50, RSIoverBought: 50, "
"name: BTCUSDT, total: 1.4, profit: 1.4, lost: -0.1, win_ratio: 81.0, total_trade: 16, Currency_BBM: 1.6, BBlength: 220, win: 13, lose: 3, max_lost: -0.04, max_win: 0.54, Ave_profit: 0.111, Ave_loss: -0.029, Ave_trade: 0.085, RSIoverSold: 50, RSIoverBought: 50, "
"name: BTCUSDT, total: 1.4, profit: 1.5, lost: -0.1, win_ratio: 75.0, total_trade: 16, Currency_BBM: 1.6, BBlength: 240, win: 12, lose: 4, max_lost: -0.03, max_win: 0.54, Ave_profit: 0.121, Ave_loss: -0.018, Ave_trade: 0.086, RSIoverSold: 50, RSIoverBought: 50, "
"name: BTCUSDT, total: 1.2, profit: 1.3, lost: -0.0, win_ratio: 77.0, total_trade: 13, Currency_BBM: 1.6, BBlength: 260, win: 10, lose: 3, max_lost: -0.02, max_win: 0.47, Ave_profit: 0.126, Ave_loss: -0.014, Ave_trade: 0.094, RSIoverSold: 50, RSIoverBought: 50, "
"name: BTCUSDT, total: 1.3, profit: 1.3, lost: -0.0, win_ratio: 83.0, total_trade: 12, Currency_BBM: 1.6, BBlength: 280, win: 10, lose: 2, max_lost: -0.01, max_win: 0.47, Ave_profit: 0.13, Ave_loss: -0.01, Ave_trade: 0.107, RSIoverSold: 50, RSIoverBought: 50, "
"name: BTCUSDT, total: 0.4, profit: 1.3, lost: -0.8, win_ratio: 63.0, total_trade: 67, Currency_BBM: 1.7, BBlength: 60, win: 42, lose: 25, max_lost: -0.11, max_win: 0.17, Ave_profit: 0.03, Ave_loss: -0.033, Ave_trade: 0.007, RSIoverSold: 50, RSIoverBought: 50, "
"name: BTCUSDT, total: 0.9, profit: 1.5, lost: -0.6, win_ratio: 60.0, total_trade: 52, Currency_BBM: 1.7, BBlength: 80, win: 31, lose: 21, max_lost: -0.11, max_win: 0.17, Ave_profit: 0.048, Ave_loss: -0.029, Ave_trade: 0.017, RSIoverSold: 50, RSIoverBought: 50, "
"name: BTCUSDT, total: 0.7, profit: 1.0, lost: -0.3, win_ratio: 60.0, total_trade: 35, Currency_BBM: 1.7, BBlength: 100, win: 21, lose: 14, max_lost: -0.05, max_win: 0.19, Ave_profit: 0.05, Ave_loss: -0.023, Ave_trade: 0.021, RSIoverSold: 50, RSIoverBought: 50, "
"name: BTCUSDT, total: 0.9, profit: 1.1, lost: -0.2, win_ratio: 72.0, total_trade: 29, Currency_BBM: 1.7, BBlength: 120, win: 21, lose: 8, max_lost: -0.05, max_win: 0.19, Ave_profit: 0.053, Ave_loss: -0.028, Ave_trade: 0.031, RSIoverSold: 50, RSIoverBought: 50, "
"name: BTCUSDT, total: 1.1, profit: 1.3, lost: -0.2, win_ratio: 71.0, total_trade: 28, Currency_BBM: 1.7, BBlength: 140, win: 20, lose: 8, max_lost: -0.05, max_win: 0.16, Ave_profit: 0.066, Ave_loss: -0.024, Ave_trade: 0.04, RSIoverSold: 50, RSIoverBought: 50, "
"name: BTCUSDT, total: 1.0, profit: 1.2, lost: -0.2, win_ratio: 71.0, total_trade: 24, Currency_BBM: 1.7, BBlength: 160, win: 17, lose: 7, max_lost: -0.05, max_win: 0.17, Ave_profit: 0.069, Ave_loss: -0.026, Ave_trade: 0.041, RSIoverSold: 50, RSIoverBought: 50, "
"name: BTCUSDT, total: 1.1, profit: 1.3, lost: -0.1, win_ratio: 81.0, total_trade: 21, Currency_BBM: 1.7, BBlength: 180, win: 17, lose: 4, max_lost: -0.04, max_win: 0.23, Ave_profit: 0.074, Ave_loss: -0.03, Ave_trade: 0.054, RSIoverSold: 50, RSIoverBought: 50, "
"name: BTCUSDT, total: 1.3, profit: 1.3, lost: -0.1, win_ratio: 81.0, total_trade: 16, Currency_BBM: 1.7, BBlength: 200, win: 13, lose: 3, max_lost: -0.04, max_win: 0.55, Ave_profit: 0.104, Ave_loss: -0.03, Ave_trade: 0.078, RSIoverSold: 50, RSIoverBought: 50, "
"name: BTCUSDT, total: 1.4, profit: 1.4, lost: -0.0, win_ratio: 86.0, total_trade: 14, Currency_BBM: 1.7, BBlength: 220, win: 12, lose: 2, max_lost: -0.01, max_win: 0.55, Ave_profit: 0.116, Ave_loss: -0.012, Ave_trade: 0.098, RSIoverSold: 50, RSIoverBought: 50, "
