"name: BTCUSDT, total: 1.5, profit: 1.8, lost: -0.4, win_ratio: 72.0, total_trade: 25, Currency_BBM: 1.6, BBlength: 200, win: 18, lose: 7, max_lost: -0.16, max_win: 0.54, Ave_profit: 0.102, Ave_loss: -0.054, Ave_trade: 0.058, RSIoverSold: 50, RSIoverBought: 50, "
"name: BTCUSDT, total: 1.3, profit: 1.6, lost: -0.3, win_ratio: 76.0, total_trade: 21, Currency_BBM: 1.6, BBlength: 220, win: 16, lose: 5, max_lost: -0.16, max_win: 0.54, Ave_profit: 0.1, Ave_loss: -0.056, Ave_trade: 0.063, RSIoverSold: 50, RSIoverBought: 50, "
"name: BTCUSDT, total: 1.4, profit: 1.6, lost: -0.3, win_ratio: 70.0, total_trade: 20, Currency_BBM: 1.6, BBlength: 240, win: 14, lose: 6, max_lost: -0.16, max_win: 0.54, Ave_profit: 0.116, Ave_loss: -0.044, Ave_trade: 0.068, RSIoverSold: 50, RSIoverBought: 50, "
"name: BTCUSDT, total: 1.3, profit: 1.4, lost: -0.1, win_ratio: 75.0, total_trade: 16, Currency_BBM: 1.6, BBlength: 260, win: 12, lose: 4, max_lost: -0.07, max_win: 0.47, Ave_profit: 0.116, Ave_loss: -0.028, Ave_trade: 0.08, RSIoverSold: 50, RSIoverBought: 50, "
"name: BTCUSDT, total: 1.3, profit: 1.4, lost: -0.1, win_ratio: 79.0, total_trade: 14, Currency_BBM: 1.6, BBlength: 280, win: 11, lose: 3, max_lost: -0.07, max_win: 0.47, Ave_profit: 0.13, Ave_loss: -0.031, Ave_trade: 0.096, RSIoverSold: 50, RSIoverBought: 50, "
"name: BTCUSDT, total: 0.6, profit: 1.8, lost: -1.2, win_ratio: 63.0, total_trade: 94, Currency_BBM: 1.7, BBlength: 60, win: 59, lose: 35, max_lost: -0.17, max_win: 0.2, Ave_profit: 0.031, Ave_loss: -0.035, Ave_trade: 0.006, RSIoverSold: 50, RSIoverBought: 50, "
"name: BTCUSDT, total: 1.2, profit: 2.0, lost: -0.8, win_ratio: 62.0, total_trade: 68, Currency_BBM: 1.7, BBlength: 80, win: 42, lose: 26, max_lost: -0.11, max_win: 0.17, Ave_profit: 0.048, Ave_loss: -0.031, Ave_trade: 0.018, RSIoverSold: 50, RSIoverBought: 50, "
"name: BTCUSDT, total: 0.8, profit: 1.4, lost: -0.6, win_ratio: 61.0, total_trade: 44, Currency_BBM: 1.7, BBlength: 100, win: 27, lose: 17, max_lost: -0.16, max_win: 0.19, Ave_profit: 0.052, Ave_loss: -0.034, Ave_trade: 0.019, RSIoverSold: 50, RSIoverBought: 50, "
"name: BTCUSDT, total: 0.9, profit: 1.3, lost: -0.5, win_ratio: 71.0, total_trade: 38, Currency_BBM: 1.7, BBlength: 120, win: 27, lose: 11, max_lost: -0.16, max_win: 0.19, Ave_profit: 0.049, Ave_loss: -0.041, Ave_trade: 0.023, RSIoverSold: 50, RSIoverBought: 50, "
"name: BTCUSDT, total: 1.1, profit: 1.5, lost: -0.4, win_ratio: 69.0, total_trade: 35, Currency_BBM: 1.7, BBlength: 140, win: 24, lose: 11, max_lost: -0.11, max_win: 0.16, Ave_profit: 0.064, Ave_loss: -0.039, Ave_trade: 0.032, RSIoverSold: 50, RSIoverBought: 50, "
"name: BTCUSDT, total: 1.0, profit: 1.3, lost: -0.3, win_ratio: 64.0, total_trade: 28, Currency_BBM: 1.7, BBlength: 160, win: 18, lose: 10, max_lost: -0.06, max_win: 0.17, Ave_profit: 0.071, Ave_loss: -0.033, Ave_trade: 0.034, RSIoverSold: 50, RSIoverBought: 50, "
"name: BTCUSDT, total: 1.1, profit: 1.4, lost: -0.4, win_ratio: 73.0, total_trade: 26, Currency_BBM: 1.7, BBlength: 180, win: 19, lose: 7, max_lost: -0.15, max_win: 0.23, Ave_profit: 0.075, Ave_loss: -0.052, Ave_trade: 0.041, RSIoverSold: 50, RSIoverBought: 50, "
"name: BTCUSDT, total: 1.1, profit: 1.4, lost: -0.3, win_ratio: 71.0, total_trade: 21, Currency_BBM: 1.7, BBlength: 200, win: 15, lose: 6, max_lost: -0.15, max_win: 0.55, Ave_profit: 0.096, Ave_loss: -0.053, Ave_trade: 0.053, RSIoverSold: 50, RSIoverBought: 50, "
"name: BTCUSDT, total: 1.3, profit: 1.5, lost: -0.2, win_ratio: 78.0, total_trade: 18, Currency_BBM: 1.7, BBlength: 220, win: 14, lose: 4, max_lost: -0.16, max_win: 0.55, Ave_profit: 0.107, Ave_loss: -0.053, Ave_trade: 0.072, RSIoverSold: 50, RSIoverBought: 50, "
"name: BTCUSDT, total: 1.3, profit: 1.4, lost: -0.0, win_ratio: 93.0, total_trade: 14, Currency_BBM: 1.7, BBlength: 240, win: 13, lose: 1, max_lost: -0.03, max_win: 0.55, Ave_profit: 0.105, Ave_loss: -0.03, Ave_trade: 0.096, RSIoverSold: 50, RSIoverBought: 50, "
